GymnastID,HomeAway,Week,Date,MeetID,Event,Score,homeaway_factor,score_adj,Event_BB,Event_FX,Event_UB,Event_VT,high_score,low_score,average,score_1,score_2
30345,A,8,2025-02-21,2025-02-21_Alabama,BB,9.85,0.0030107663283892,9.85,1,0,0,0,9.9,9.171989233671612,9.535994616835806,9.9,9.171989233671612
30345,H,9,2025-02-28,2025-02-28_Arkansas,BB,9.875,0.0030107663283892,9.871989233671613,1,0,0,0,9.9,9.171989233671612,9.640663077890537,9.85,9.9
30345,A,10,2025-03-07,2025-03-07_Alabama,BB,9.925,0.0030107663283892,9.925,1,0,0,0,9.9,9.171989233671612,9.698494616835806,9.871989233671613,9.85
30345,A,8,2025-02-21,2025-02-21_Alabama,FX,9.85,0.0416716594045026,9.85,0,1,0,0,9.9,9.883328340595495,9.891664170297748,9.9,9.883328340595495
30345,H,9,2025-02-28,2025-02-28_Arkansas,FX,9.925,0.0416716594045026,9.883328340595495,0,1,0,0,9.9,9.85,9.877776113531832,9.85,9.9
30345,A,10,2025-03-07,2025-03-07_Alabama,FX,9.95,0.0416716594045026,9.95,0,1,0,0,9.9,9.85,9.879164170297749,9.883328340595495,9.85
30345,H,4,2025-01-20,2025-01-20_Arkansas,UB,9.825,0.0266603053435114,9.798339694656487,0,0,1,0,9.8,9.8,9.8,9.8,9.8
30345,H,4,2025-01-24,2025-01-24_Arkansas,UB,9.875,0.0266603053435114,9.848339694656488,0,0,1,0,9.8,9.798339694656487,9.799446564885496,9.798339694656487,9.8
30345,A,5,2025-01-31,2025-01-31_Air Force,UB,9.25,0.0266603053435114,9.25,0,0,1,0,9.848339694656488,9.798339694656487,9.811669847328243,9.848339694656488,9.798339694656487
30345,H,6,2025-02-07,2025-02-07_Arkansas,UB,9.95,0.0266603053435114,9.923339694656487,0,0,1,0,9.848339694656488,9.25,9.699335877862595,9.25,9.848339694656488
30345,A,7,2025-02-14,2025-02-14_Arizona,UB,9.9,0.0266603053435114,9.9,0,0,1,0,9.923339694656487,9.25,9.736669847328244,9.923339694656487,9.25
30345,A,8,2025-02-21,2025-02-21_Alabama,UB,9.75,0.0266603053435114,9.75,0,0,1,0,9.923339694656487,9.25,9.760002726281353,9.9,9.923339694656487
30345,H,9,2025-02-28,2025-02-28_Arkansas,UB,9.875,0.0266603053435114,9.848339694656488,0,0,1,0,9.923339694656487,9.25,9.758752385496184,9.75,9.9
30345,A,10,2025-03-07,2025-03-07_Alabama,UB,9.925,0.0266603053435114,9.925,0,0,1,0,9.923339694656487,9.25,9.76870653095844,9.848339694656488,9.75
30804,A,5,2025-01-31,2025-01-31_Air Force,BB,9.75,0.0030107663283892,9.75,1,0,0,0,9.871989233671613,9.275,9.573494616835806,9.871989233671613,9.275
30804,H,4,2025-01-24,2025-01-24_Alabama,FX,9.85,0.0416716594045026,9.808328340595496,0,1,0,0,9.883328340595495,9.8,9.841664170297747,9.8,9.883328340595495
30804,A,5,2025-01-31,2025-01-31_Air Force,FX,9.85,0.0416716594045026,9.85,0,1,0,0,9.883328340595495,9.8,9.830552227063665,9.808328340595496,9.8
30804,H,6,2025-02-07,2025-02-07_Alabama,FX,9.875,0.0416716594045026,9.833328340595497,0,1,0,0,9.883328340595495,9.8,9.835414170297748,9.85,9.808328340595496
30804,A,7,2025-02-14,2025-02-14_Arizona,FX,9.825,0.0416716594045026,9.825,0,1,0,0,9.883328340595495,9.8,9.834997004357298,9.833328340595497,9.85
30804,H,8,2025-02-21,2025-02-21_Alabama,FX,9.9,0.0416716594045026,9.858328340595495,0,1,0,0,9.883328340595495,9.8,9.833330836964414,9.825,9.833328340595497
30804,A,9,2025-02-28,2025-02-28_Arkansas,FX,9.925,0.0416716594045026,9.925,0,1,0,0,9.883328340595495,9.8,9.836901908911711,9.858328340595495,9.825
30804,H,10,2025-03-07,2025-03-07_Alabama,FX,9.9,0.0416716594045026,9.858328340595495,0,1,0,0,9.925,9.8,9.847914170297749,9.925,9.858328340595495
30804,A,10,2025-03-09,2025-03-09_Denver,FX,9.875,0.0416716594045026,9.875,0,1,0,0,9.925,9.8,9.84907130033083,9.858328340595495,9.925
30804,A,9,2025-02-28,2025-02-28_Arkansas,UB,9.95,0.0266603053435114,9.95,0,0,1,0,9.873339694656488,9.8,9.836669847328245,9.873339694656488,9.8
30804,H,10,2025-03-07,2025-03-07_Alabama,UB,9.875,0.0266603053435114,9.848339694656488,0,0,1,0,9.95,9.8,9.874446564885496,9.95,9.873339694656488
30804,A,10,2025-03-09,2025-03-09_Denver,UB,8.65,0.0266603053435114,8.65,0,0,1,0,9.95,9.8,9.867919847328244,9.848339694656488,9.95
30817,H,3,2025-01-17,2025-01-17_Arizona,BB,9.125,0.0030107663283892,9.121989233671613,1,0,0,0,9.9,9.875,9.8875,9.9,9.875
30817,A,4,2025-01-26,2025-01-26_Arizona State,BB,9.775,0.0030107663283892,9.775,1,0,0,0,9.9,9.121989233671613,9.632329744557204,9.121989233671613,9.9
30817,H,5,2025-01-31,2025-01-31_Arizona,BB,9.925,0.0030107663283892,9.921989233671612,1,0,0,0,9.9,9.121989233671613,9.667997308417903,9.775,9.121989233671613
30817,A,6,2025-02-07,2025-02-07_Alabama,BB,9.8,0.0030107663283892,9.8,1,0,0,0,9.921989233671612,9.121989233671613,9.718795693468646,9.921989233671612,9.775
30817,H,7,2025-02-14,2025-02-14_Arizona,BB,9.85,0.0030107663283892,9.84698923367161,1,0,0,0,9.921989233671612,9.121989233671613,9.732329744557203,9.8,9.921989233671612
30817,A,8,2025-02-21,2025-02-21_Alabama,BB,9.875,0.0030107663283892,9.875,1,0,0,0,9.921989233671612,9.121989233671613,9.748709671573549,9.84698923367161,9.8
30817,A,9,2025-02-28,2025-02-28_Arkansas,BB,9.9,0.0030107663283892,9.9,1,0,0,0,9.921989233671612,9.121989233671613,9.764495962626855,9.875,9.84698923367161
30817,H,10,2025-03-08,2025-03-08_Arizona,BB,9.85,0.0030107663283892,9.84698923367161,1,0,0,0,9.921989233671612,9.121989233671613,9.779551966779426,9.9,9.875
30817,H,3,2025-01-17,2025-01-17_Arizona,UB,9.9,0.0266603053435114,9.873339694656488,0,0,1,0,9.85,9.775,9.8125,9.85,9.775
30817,A,4,2025-01-26,2025-01-26_Arizona State,UB,9.9,0.0266603053435114,9.9,0,0,1,0,9.873339694656488,9.775,9.83277989821883,9.873339694656488,9.85
30817,H,5,2025-01-31,2025-01-31_Arizona,UB,9.925,0.0266603053435114,9.898339694656489,0,0,1,0,9.9,9.775,9.849584923664121,9.9,9.873339694656488
30817,A,6,2025-02-07,2025-02-07_Alabama,UB,9.825,0.0266603053435114,9.825,0,0,1,0,9.9,9.775,9.859335877862595,9.898339694656489,9.9
30817,H,7,2025-02-14,2025-02-14_Arizona,UB,9.725,0.0266603053435114,9.698339694656488,0,0,1,0,9.9,9.775,9.853613231552162,9.825,9.898339694656489
30817,A,8,2025-02-21,2025-02-21_Alabama,UB,9.825,0.0266603053435114,9.825,0,0,1,0,9.9,9.698339694656488,9.831431297709925,9.698339694656488,9.825
30817,A,9,2025-02-28,2025-02-28_Arkansas,UB,9.775,0.0266603053435114,9.775,0,0,1,0,9.9,9.698339694656488,9.830627385496182,9.825,9.698339694656488
30817,H,10,2025-03-08,2025-03-08_Arizona,UB,9.9,0.0266603053435114,9.873339694656488,0,0,1,0,9.9,9.698339694656488,9.824446564885497,9.775,9.825
30823,A,3,2025-01-18,2025-01-18_Illinois,UB,9.85,0.0266603053435114,9.85,0,0,1,0,9.798339694656487,9.725,9.761669847328243,9.725,9.798339694656487
30823,H,4,2025-01-24,2025-01-24_Penn State,UB,9.85,0.0266603053435114,9.823339694656488,0,0,1,0,9.85,9.725,9.791113231552162,9.85,9.725
30823,H,5,2025-01-31,2025-01-31_Penn State,UB,9.875,0.0266603053435114,9.848339694656488,0,0,1,0,9.85,9.725,9.799169847328244,9.823339694656488,9.85
30823,A,6,2025-02-07,2025-02-07_Alabama,UB,9.725,0.0266603053435114,9.725,0,0,1,0,9.85,9.725,9.809003816793894,9.848339694656488,9.823339694656488
30823,A,7,2025-02-14,2025-02-14_Arizona,UB,9.525,0.0266603053435114,9.525,0,0,1,0,9.85,9.725,9.795003180661576,9.725,9.848339694656488
30823,H,8,2025-02-22,2025-02-22_Penn State,UB,9.875,0.0266603053435114,9.848339694656488,0,0,1,0,9.85,9.525,9.756431297709923,9.525,9.725
30823,A,9,2025-03-02,2025-03-02_Ball State,UB,9.75,0.0266603053435114,9.75,0,0,1,0,9.85,9.525,9.767919847328244,9.848339694656488,9.525
30823,A,10,2025-03-09,2025-03-09_Denver,UB,9.875,0.0266603053435114,9.875,0,0,1,0,9.85,9.525,9.765928753180662,9.75,9.848339694656488
30824,H,4,2025-01-26,2025-01-26_Arizona State,BB,9.875,0.0030107663283892,9.871989233671613,1,0,0,0,9.75,9.7,9.725,9.75,9.7
30824,A,5,2025-01-31,2025-01-31_Air Force,BB,9.875,0.0030107663283892,9.875,1,0,0,0,9.871989233671613,9.7,9.773996411223871,9.871989233671613,9.75
30824,H,6,2025-02-07,2025-02-07_Arizona State,BB,9.85,0.0030107663283892,9.84698923367161,1,0,0,0,9.875,9.7,9.799247308417904,9.875,9.871989233671613
30824,H,7,2025-02-14,2025-02-14_Arizona State,BB,9.825,0.0030107663283892,9.82198923367161,1,0,0,0,9.875,9.7,9.808795693468644,9.84698923367161,9.875
30824,H,8,2025-02-21,2025-02-21_Arizona State,BB,9.85,0.0030107663283892,9.84698923367161,1,0,0,0,9.875,9.7,9.810994616835805,9.82198923367161,9.84698923367161
